close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,stock_code,volume
26300.0,2025-12-19 12:23:00,NFO,24-FEB-2026,26300.0,26300.0,26300.0,607750,Futures,NIFTY,0
26300.0,2025-12-19 12:24:00,NFO,24-FEB-2026,26300.0,26300.0,26300.0,607750,Futures,NIFTY,0
26293.2,2025-12-19 12:25:00,NFO,24-FEB-2026,26300.0,26293.2,26300.0,607750,Futures,NIFTY,65
26293.2,2025-12-19 12:26:00,NFO,24-FEB-2026,26293.2,26293.2,26293.2,607750,Futures,NIFTY,0
26293.0,2025-12-19 12:27:00,NFO,24-FEB-2026,26293.2,26293.0,26293.2,607815,Futures,NIFTY,65
26293.0,2025-12-19 12:28:00,NFO,24-FEB-2026,26293.0,26293.0,26293.0,607815,Futures,NIFTY,0
26293.0,2025-12-19 12:29:00,NFO,24-FEB-2026,26293.0,26293.0,26293.0,607815,Futures,NIFTY,0
26293.0,2025-12-19 12:30:00,NFO,24-FEB-2026,26293.0,26293.0,26293.0,607815,Futures,NIFTY,0
26300.5,2025-12-19 12:31:00,NFO,24-FEB-2026,26300.5,26293.0,26293.0,607815,Futures,NIFTY,260
26300.5,2025-12-19 12:32:00,NFO,24-FEB-2026,26300.5,26300.5,26300.5,607815,Futures,NIFTY,0
26308.0,2025-12-19 12:33:00,NFO,24-FEB-2026,26308.0,26300.5,26300.5,607815,Futures,NIFTY,65
26308.0,2025-12-19 12:34:00,NFO,24-FEB-2026,26308.0,26308.0,26308.0,607815,Futures,NIFTY,260
26311.0,2025-12-19 12:35:00,NFO,24-FEB-2026,26311.0,26308.0,26308.0,607815,Futures,NIFTY,130
26310.0,2025-12-19 12:36:00,NFO,24-FEB-2026,26311.0,26310.0,26311.0,607815,Futures,NIFTY,65
26310.0,2025-12-19 12:37:00,NFO,24-FEB-2026,26310.0,26310.0,26310.0,607815,Futures,NIFTY,0
26310.0,2025-12-19 12:38:00,NFO,24-FEB-2026,26310.0,26310.0,26310.0,607815,Futures,NIFTY,0
26313.0,2025-12-19 12:39:00,NFO,24-FEB-2026,26313.0,26310.0,26310.0,607880,Futures,NIFTY,65
26312.0,2025-12-19 12:40:00,NFO,24-FEB-2026,26314.9,26312.0,26313.0,607880,Futures,NIFTY,130
26313.0,2025-12-19 12:41:00,NFO,24-FEB-2026,26313.0,26311.0,26312.0,607945,Futures,NIFTY,195
