SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ACSTECH,EQ,23-Apr-2026,41.4,41.4,42.2, 40.60,42.1,41.8,41.81,66023.0,27.6,364.0, 51594, 78.15
ACUTAAS,EQ,23-Apr-2026,2423.2,2419.0,2435.0, 2379.70,2382.0,2386.7,2398.43,243296.0,5835.28,27466.0, 137323, 56.44
ADANIENSOL,EQ,23-Apr-2026,1368.1,1365.0,1389.45, 1338.65,1365.95,1361.25,1368.3,4049540.0,55409.95,88660.0, 1052420, 25.99
ADANIENT,EQ,23-Apr-2026,2260.8,2243.5,2333.9, 2221.80,2301.0,2300.0,2284.37,2948009.0,67343.46,94840.0, 862545, 29.26
ADANIGREEN,EQ,23-Apr-2026,1198.95,1193.0,1240.0, 1180.50,1217.9,1214.15,1214.89,6765325.0,82191.01,106518.0, 1394800, 20.62
ADANIPORTS,EQ,23-Apr-2026,1588.6,1575.0,1611.0, 1566.20,1610.0,1602.9,1594.9,2406876.0,38387.36,61031.0, 1126831, 46.82
ADANIPOWER,EQ,23-Apr-2026,215.65,216.0,217.25, 212.53,214.9,214.18,215.3,58947381.0,126914.36,224755.0, 13425995, 22.78
ADDICTIVE,SM,23-Apr-2026,84.0,81.0,88.2, 81.00,88.2,88.2,87.27,57500.0,50.18,91.0, 50000, 86.96
ADFFOODS,EQ,23-Apr-2026,233.53,236.0,259.0, 235.01,250.0,249.08,247.58,2417937.0,5986.43,24394.0, 810344, 33.51
ADL,EQ,23-Apr-2026,78.36,78.36,78.39, 73.80,78.0,77.94,76.95,443.0,0.34,33.0, 217, 48.98
ADOR,EQ,23-Apr-2026,1035.55,1030.4,1047.0, 1022.00,1026.2,1024.45,1036.72,14757.0,152.99,1556.0, 8118, 55.01
ADROITINFO,EQ,23-Apr-2026,10.4,10.4,10.86, 9.90,9.91,9.99,10.18,31568.0,3.21,263.0, 19832, 62.82
ADSL,EQ,23-Apr-2026,119.96,118.9,121.64, 117.00,118.8,117.7,118.91,78182.0,92.97,1271.0, 37242, 47.64
ADVAIT,EQ,23-Apr-2026,1994.2,1998.1,2143.2, 1998.10,2097.4,2072.8,2082.33,105405.0,2194.88,10280.0, 37329, 35.41
ADVANCE,EQ,23-Apr-2026,113.68,113.98,116.76, 109.61,113.2,114.16,113.34,2397763.0,2717.53,5801.0, 149062, 6.22
ADVANIHOTR,EQ,23-Apr-2026,54.87,54.0,55.27, 53.59,54.45,54.5,54.59,16934.0,9.24,343.0, 9538, 56.32
ADVENTHTL,EQ,23-Apr-2026,163.14,162.6,165.21, 157.75,158.5,158.94,160.07,90845.0,145.41,2594.0, 50564, 55.66
ADVENZYMES,EQ,23-Apr-2026,299.15,299.0,304.9, 297.50,300.0,298.65,300.81,97740.0,294.01,2128.0, 60027, 61.41
AEGISLOG,EQ,23-Apr-2026,713.5,713.5,729.95, 699.45,705.0,704.8,711.16,478938.0,3406.01,15261.0, 238084, 49.71
AEGISVOPAK,EQ,23-Apr-2026,195.0,195.5,197.4, 192.10,193.0,193.12,194.59,219326.0,426.79,4589.0, 81343, 37.09
AEPL,BE,23-Apr-2026,19.0,19.0,19.2, 18.60,18.6,18.71,19.01,4285.0,0.81,55.0, -, -
AEQUS,EQ,23-Apr-2026,189.04,190.99,190.99, 181.00,184.97,184.6,183.96,1719302.0,3162.85,24464.0, 518070, 30.13
AEROENTER,EQ,23-Apr-2026,90.95,90.48,90.88, 87.50,90.54,89.55,89.36,241021.0,215.39,1060.0, 63078, 26.17
AEROFLEX,EQ,23-Apr-2026,304.52,303.52,303.95, 292.23,295.69,295.68,296.89,1412798.0,4194.47,15699.0, 581617, 41.17
AERON,SM,23-Apr-2026,101.2,100.0,104.2, 100.00,102.15,102.15,102.32,8000.0,8.19,8.0, 6000, 75.00
AERONEU,EQ,23-Apr-2026,82.25,83.9,83.9, 78.28,78.28,78.7,80.57,57851.0,46.61,1249.0, 12911, 22.32
AESTHETIK,SM,23-Apr-2026,82.0,80.0,80.0, 80.00,80.0,80.0,80.0,1000.0,0.8,1.0, 1000, 100.00
AETHER,EQ,23-Apr-2026,1183.3,1184.5,1196.8, 1170.00,1185.7,1181.4,1180.94,269803.0,3186.2,25523.0, 148111, 54.90
AFCONS,EQ,23-Apr-2026,329.5,325.15,331.95, 323.30,325.0,324.9,327.15,222413.0,727.62,7378.0, 83186, 37.40
AFFLE,EQ,23-Apr-2026,1446.4,1440.0,1452.9, 1417.00,1428.4,1432.8,1433.53,156466.0,2242.98,15121.0, 87221, 55.74
AFFORDABLE,BE,23-Apr-2026,187.85,186.0,187.61, 182.00,184.7,183.04,184.36,16951.0,31.25,223.0, -, -
AFIL,BE,23-Apr-2026,9.64,9.5,9.61, 9.30,9.48,9.43,9.45,667113.0,63.03,590.0, -, -
AFSL,EQ,23-Apr-2026,201.05,201.02,202.9, 201.00,201.0,201.12,201.65,5121.0,10.33,118.0, 3199, 62.47
AGARIND,EQ,23-Apr-2026,453.1,447.45,457.4, 447.45,451.4,450.9,451.83,27547.0,124.47,1213.0, 13456, 48.85
AGARWALEYE,EQ,23-Apr-2026,461.15,460.6,465.25, 453.80,455.0,460.55,460.68,78743.0,362.75,7087.0, 39836, 50.59
AGARWALFT,ST,23-Apr-2026,36.75,38.0,38.0, 37.50,37.6,37.5,37.56,15000.0,5.63,3.0, 15000, 100.00
AGARWALTUF,SM,23-Apr-2026,109.8,109.0,116.0, 109.00,114.05,114.05,112.79,241200.0,272.06,102.0, 121200, 50.25
AGI,EQ,23-Apr-2026,564.55,561.25,568.0, 555.10,561.05,559.25,562.56,165608.0,931.65,6833.0, 92237, 55.70
AGIIL,EQ,23-Apr-2026,359.7,359.35,382.5, 352.00,366.85,367.0,369.94,3375032.0,12485.51,20340.0, 676476, 20.04
AGNI,SM,23-Apr-2026,20.75,20.75,21.4, 20.75,21.4,21.4,21.18,7500.0,1.59,3.0, 7500, 100.00
AGRITECH,EQ,23-Apr-2026,117.57,118.0,119.7, 109.00,113.0,111.99,113.55,15498.0,17.6,425.0, 10044, 64.81
AGROPHOS,EQ,23-Apr-2026,32.86,33.5,33.85, 32.40,33.2,33.15,33.21,10247.0,3.4,130.0, 5235, 51.09
AHCL,EQ,23-Apr-2026,144.39,146.95,151.24, 142.10,144.35,143.79,146.52,950118.0,1392.09,9559.0, 489307, 51.50
AHLADA,EQ,23-Apr-2026,47.86,45.61,49.1, 45.61,48.1,47.68,48.35,6271.0,3.03,101.0, 3799, 60.58
AHLEAST,EQ,23-Apr-2026,168.45,169.5,175.3, 168.00,170.15,170.07,171.57,8997.0,15.44,254.0, 5481, 60.92
AHLUCONT,EQ,23-Apr-2026,890.2,882.0,894.95, 875.60,886.0,886.25,885.42,64781.0,573.58,6505.0, 36265, 55.98
AHLWEST,BE,23-Apr-2026,269.95,283.44,283.44, 283.44,283.44,283.44,283.44,2100.0,5.95,26.0, -, -
AIAENG,EQ,23-Apr-2026,4058.6,4075.0,4110.0, 4022.00,4077.1,4079.6,4069.89,28883.0,1175.51,6848.0, 13360, 46.26
AIIL,EQ,23-Apr-2026,484.8,485.0,505.0, 480.10,500.0,501.75,494.25,429979.0,2125.17,15502.0, 164822, 38.33
AILIMITED,SM,23-Apr-2026,37.7,39.55,39.55, 39.55,39.55,39.55,39.55,4500.0,1.78,3.0, 4500, 100.00
AIMTRON,SM,23-Apr-2026,1012.0,1024.0,1034.0, 1003.00,1028.0,1018.4,1018.24,47200.0,480.61,189.0, 28200, 59.75
AIRAN,EQ,23-Apr-2026,17.53,17.65,17.65, 17.10,17.39,17.32,17.34,32330.0,5.6,236.0, 26003, 80.43
AIROLAM,EQ,23-Apr-2026,84.07,83.07,84.95, 83.07,84.5,83.67,83.91,4002.0,3.36,82.0, 3431, 85.73
AJANTPHARM,EQ,23-Apr-2026,2779.2,2770.0,2826.9, 2760.00,2793.2,2780.8,2796.67,50252.0,1405.38,10183.0, 21170, 42.13
AJAXENGG,EQ,23-Apr-2026,525.3,532.7,540.0, 516.05,531.15,531.85,530.62,290824.0,1543.16,10198.0, 197025, 67.75
