close,datetime,exchange_code,high,low,open,stock_code,volume
17890.05,2021-11-08 11:43:00,NSE,17891.4,17880.55,17882.65,NIFTY,626134
17891.35,2021-11-08 11:44:00,NSE,17891.8,17887.95,17890.65,NIFTY,510771
17901.7,2021-11-08 11:45:00,NSE,17902.75,17891.0,17891.65,NIFTY,540744
17904.25,2021-11-08 11:46:00,NSE,17904.25,17900.2,17901.75,NIFTY,423786
17900.75,2021-11-08 11:47:00,NSE,17904.45,17899.15,17903.85,NIFTY,447627
17904.9,2021-11-08 11:48:00,NSE,17906.45,17900.45,17900.45,NIFTY,714872
17909.85,2021-11-08 11:49:00,NSE,17911.75,17903.35,17906.05,NIFTY,861308
17917.7,2021-11-08 11:50:00,NSE,17917.7,17909.2,17910.2,NIFTY,744291
17917.35,2021-11-08 11:51:00,NSE,17919.35,17916.35,17917.45,NIFTY,417940
17919.65,2021-11-08 11:52:00,NSE,17920.95,17917.55,17917.8,NIFTY,486811
17913.45,2021-11-08 11:53:00,NSE,17919.35,17913.45,17919.25,NIFTY,415030
17904.8,2021-11-08 11:54:00,NSE,17913.4,17904.65,17913.4,NIFTY,626488
17901.9,2021-11-08 11:55:00,NSE,17906.05,17901.6,17904.35,NIFTY,458508
17906.9,2021-11-08 11:56:00,NSE,17908.45,17899.6,17901.15,NIFTY,403537
17903.65,2021-11-08 11:57:00,NSE,17907.6,17903.45,17907.55,NIFTY,375581
17903.05,2021-11-08 11:58:00,NSE,17905.55,17901.35,17903.85,NIFTY,710464
17911.05,2021-11-08 11:59:00,NSE,17911.95,17902.3,17902.9,NIFTY,492730
17921.0,2021-11-08 12:00:00,NSE,17923.75,17910.5,17910.5,NIFTY,891119
17923.6,2021-11-08 12:01:00,NSE,17924.1,17918.95,17920.45,NIFTY,536223
17929.6,2021-11-08 12:02:00,NSE,17930.3,17923.0,17923.3,NIFTY,505612
17936.3,2021-11-08 12:03:00,NSE,17941.55,17927.9,17929.1,NIFTY,1077309
17945.5,2021-11-08 12:04:00,NSE,17945.5,17935.85,17936.1,NIFTY,911904
17960.6,2021-11-08 12:05:00,NSE,17973.1,17945.55,17945.55,NIFTY,1529700
17966.95,2021-11-08 12:06:00,NSE,17973.65,17960.8,17960.8,NIFTY,897507
17968.25,2021-11-08 12:07:00,NSE,17971.35,17962.8,17965.85,NIFTY,854797
17968.25,2021-11-08 12:08:00,NSE,17972.65,17965.55,17967.95,NIFTY,692301
17975.4,2021-11-08 12:09:00,NSE,17978.5,17968.6,17969.05,NIFTY,795502
17983.9,2021-11-08 12:10:00,NSE,17985.55,17974.2,17974.8,NIFTY,795015
17977.45,2021-11-08 12:11:00,NSE,17984.75,17977.35,17983.85,NIFTY,715896
17976.0,2021-11-08 12:12:00,NSE,17980.3,17975.6,17979.55,NIFTY,633093
17962.45,2021-11-08 12:13:00,NSE,17975.75,17961.75,17975.75,NIFTY,605828
17966.8,2021-11-08 12:14:00,NSE,17970.15,17962.2,17963.25,NIFTY,573607
17963.5,2021-11-08 12:15:00,NSE,17967.85,17960.05,17967.45,NIFTY,470408
